Variables,model1,model2,model3,model4,model5,model6,model7,model8
age,0.036776458088791,0.032219041209689,0.030654840563934,0.033441576958187,0.029409815649735,0.028834267075356,0.027868987340165,0.026335590217177
gender_f,-0.378991068422681,-0.415910940651183,-0.251040114431217,-0.261292617394286,-0.307679051793966,-0.296221982809933,-0.134119717917314,-0.178189528529661
nyha,0.565601012914571,0.506764923997237,0.501413681951176,0.507721332435759,0.480088785686596,0.484065230731044,0.466342269078274,0.459880043286629
lv_ef,-0.505195767369523,-0.271265963528359,-0.358393756034596,-0.460173868070268,-0.255096919154394,-0.255961183900162,-0.31910592691969,-0.233905892021991
furosemide1,0.331617708109286,0.472937273702988,0.386453301429807,0.469004692074362,0.599256701831664,0.461416629016774,0.504942563527924,0.572832360490191
furosemide2,0.602755728642391,0.708230298838914,0.622137365016427,0.652836402414706,0.751141286854592,0.683699789029174,0.648072770519473,0.703308139728091
statin,-0.781261989926533,-0.746535039354418,-0.775720791434926,-0.762329353188971,-0.748056298285963,-0.759361928046317,-0.775986253607942,-0.765537493809695
sodium,-0.057579179470554,-0.049170990787888,-0.042574308570159,-0.048240990910398,-0.046727080383131,-0.0398869467347,-0.040517063658378,-0.040731767060521
egfr,-0.008528290266524,-0.00607296299967,-0.002158915517693,-0.006700726744537,-0.004057424708063,-0.00169514432805,0.000127135761943,0.000760976957786
hb,-0.113889981319822,-0.092143878449447,-0.087661150782027,-0.128726479780423,-0.111864347524992,-0.077641160728255,-0.106771183031864,-0.099510545072826
acei_arb,-0.571821981168753,-0.431745765999519,-0.456960211396823,-0.5007552497892,-0.428810329914708,-0.395621377318491,-0.438485769065417,-0.414949640898158
betablock,-0.579071092446678,-0.577942422216884,-0.435435913306712,-0.560012670984064,-0.568383199502864,-0.454813065526582,-0.427656757394789,-0.449139613459592
log_hf_duration,0.080318747151427,0.085559401411172,0.108002290217844,0.09821840844793,0.107648873869969,0.106678268562052,0.130683183302471,0.132367703870767
diabetes,0.252694328312191,0.273440929604609,0.186392447355902,0.237491228120843,0.241030988879775,0.209722990692833,0.166110397791067,0.177988077907629
prev_admission,-0.0365104080642,-0.134375814928262,-0.096480749517341,-0.146841072653873,-0.212210151358466,-0.145016307038765,-0.204485338465623,-0.231912162507516
mra,-0.214274765823845,-0.196937247096801,-0.281622031299787,-0.246329885972629,-0.230282449784422,-0.255991250598388,-0.327764929031937,-0.304991547100063
icd,-0.265380971456446,-0.268832885757781,-0.25457323324,-0.299738757904722,-0.31313237307522,-0.264395453783495,-0.300284085652091,-0.316265424224123
crt,-0.392998960417144,-0.43065284415637,-0.457447177193636,-0.407868627600653,-0.427834936409634,-0.477032767618603,-0.458209478357891,-0.47066574955354
log_ntprobnp,,0.234941461242573,,,0.21210742617599,0.140570270923964,,0.118835479585492
log_hstnt,,,1.11390625638196,,,1.02909402301317,1.14684453998917,1.08029845391699
log_hstnt_square,,,-0.094490775399219,,,-0.09438751196188,-0.101275358624186,-0.101601125799227
st2_div_10,,,,0.278202836091715,0.261109794604579,,0.279119654027165,0.267129050366797
st2_div_10_square,,,,-0.011391124467542,-0.011541855418534,,-0.012233685658061,-0.012075916447657
arni,-0.74617536831353,-0.606099153144297,-0.631313598541601,-0.675108636933978,-0.603163717059486,-0.569974764463269,-0.612839156210194,-0.589303028042936
sum_product,-9.432164819,-6.175385684,-4.165259761,-7.160400499,-5.245340866,-2.918512914,-2.999752211,-2.370912505

