maggic_points,1_year_mortality,3_year_mortality
0,0.015,0.039
1,0.016,0.043
2,0.018,0.048
3,0.02,0.052
4,0.022,0.058
5,0.024,0.063
6,0.027,0.07
7,0.029,0.077
8,0.032,0.084
9,0.036,0.092
10,0.039,0.102
11,0.043,0.111
12,0.048,0.122
13,0.052,0.134
14,0.058,0.146
15,0.063,0.16
16,0.07,0.175
17,0.077,0.191
18,0.084,0.209
19,0.093,0.227
20,0.102,0.247
21,0.111,0.269
22,0.122,0.292
23,0.134,0.316
24,0.147,0.342
25,0.16,0.369
26,0.175,0.397
27,0.191,0.427
28,0.209,0.458
29,0.227,0.49
30,0.248,0.523
31,0.269,0.556
32,0.292,0.59
33,0.316,0.625
34,0.342,0.658
35,0.369,0.692
36,0.398,0.725
37,0.427,0.756
38,0.458,0.787
39,0.49,0.815
40,0.523,0.842
41,0.557,0.866
42,0.591,0.889
43,0.625,0.908
44,0.659,0.926
45,0.692,0.941
46,0.725,0.953
47,0.757,0.964
48,0.787,0.973
49,0.816,0.98
50,0.842,0.985
